#,Player,Team,GP,MPG,FGM,FGA,FG%,3:00 pm,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,ATT
20,Andrew Wiggins,MIN,24,35,7.3,17,0.43,0.7,2.6,0.258,5.6,7.5,0.749,2.2,2.2,1.5,2.1,3.6,1.6,0.6,0.7,20.8,0.58
21,Shayne Whittington,IND,1,1.9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.00
22,Hassan Whiteside,MIA,24,27.7,5.2,8.4,0.619,0,0,0,2,4,0.51,2,2.3,2.9,7.8,10.6,0.2,0.6,3.9,12.5,0.36
23,Russell Westbrook,OKC,26,34.4,8.9,19.1,0.465,1.4,4.6,0.308,6.4,7.6,0.848,4.7,2.3,1.7,5.4,7.1,9.4,2.4,0.4,25.6,0.65
24,David West,SAS,27,15.2,2.4,4.4,0.542,0,0.1,0.5,0.7,1.1,0.69,1.1,1.8,0.8,3,3.8,1.6,0.6,0.4,5.5,0.32
25,Sonny Weems,PHX,12,8.6,0.4,1.3,0.312,0.2,0.5,0.333,0.5,0.8,0.667,1,0.8,0.1,1.2,1.3,1,0.2,0,1.5,0.19
26,C.J. Watson,ORL,8,19.6,1.8,4.8,0.368,0.6,2,0.312,0.6,0.9,0.714,0.8,1.2,0.5,1.5,2,3.1,1,0,4.8,0.26
27,T.J. Warren,PHX,26,21.7,4.7,9.1,0.521,0.4,1,0.37,1.1,1.5,0.737,0.8,2,1.3,2.1,3.4,0.8,0.7,0.3,10.9,0.45
28,John Wall,WAS,24,34.8,7.1,16.1,0.443,1.5,4.2,0.343,3.9,5,0.782,4.2,2,0.7,3.5,4.1,8.9,2.1,0.7,19.6,0.52
29,Kemba Walker,CHA,25,34,6.5,14.6,0.445,1.5,4.1,0.373,3.6,4.5,0.804,2,1.3,0.8,3.4,4.2,5,1.7,0.7,18.2,0.49
30,Dion Waiters,OKC,26,28.2,4,9.9,0.399,1,3,0.351,1.8,2.2,0.81,1.5,2,0.7,2.7,3.3,1.9,1,0.1,10.8,0.38
31,Dwyane Wade,MIA,23,29.8,7.4,16.3,0.456,0.3,1,0.292,3.2,4.1,0.787,2.3,1.5,1,2.9,3.8,4.4,1,0.6,18.4,0.60
32,Sasha Vujacic,NYK,18,15.7,1.4,4.7,0.298,0.5,2.3,0.214,0.4,0.6,0.727,0.9,1.5,0.5,1.8,2.3,1.6,0.6,0.1,3.7,0.32
33,Nikola Vucevic,ORL,22,29.6,7.1,13.9,0.511,0,0.1,0.5,1.3,1.6,0.778,1.8,2.6,3.2,5.4,8.6,2.5,0.8,1,15.5,0.49
